store,total_reviews,avg_rating,avg_price,avg_product_rating,avg_helpful_vote
Anker,178,4.230337078651686,,3.955056179775281,0.9606741573033708
Audio-Technica,308,4.542207792207792,199.0,4.3837662337662335,3.448051948051948
Bose,322,3.7111801242236027,,4.381055900621118,0.6925465838509317
JVC,123,3.796747967479675,18.549,3.7853658536585364,1.4308943089430894
LG,139,3.726618705035971,104.99,4.093525179856115,0.3669064748201439
Sennheiser,227,4.356828193832599,161.0625,4.196916299559471,6.308370044052864
Skullcandy,362,3.505524861878453,33.02408653846154,4.22707182320442,1.5359116022099448
Sony,938,3.8891257995735606,219.27303621169918,4.29498933901919,2.814498933901919
SoundPEATS,172,3.7209302325581395,,3.661627906976744,0.4011627906976744
Soundcore,132,3.9696969696969697,57.901818181818186,4.251515151515152,1.6136363636363635
