store,anc,battery,build,comfort,connectivity,microphone,price,sound
Anker,0.0,0.0056179775280898875,0.016853932584269662,0.028089887640449437,0.011235955056179775,0.011235955056179775,0.0056179775280898875,0.028089887640449437
Audio-Technica,0.003246753246753247,0.0,0.006493506493506494,0.012987012987012988,0.00974025974025974,0.0,0.006493506493506494,0.003246753246753247
Bose,0.018633540372670808,0.037267080745341616,0.027950310559006212,0.055900621118012424,0.034161490683229816,0.018633540372670808,0.021739130434782608,0.049689440993788817
JVC,0.0,0.016260162601626018,0.032520325203252036,0.032520325203252036,0.016260162601626018,0.0,0.0,0.032520325203252036
LG,0.007194244604316547,0.02158273381294964,0.03597122302158273,0.07913669064748201,0.02158273381294964,0.04316546762589928,0.007194244604316547,0.04316546762589928
Sennheiser,0.004405286343612335,0.013215859030837005,0.004405286343612335,0.02643171806167401,0.004405286343612335,0.00881057268722467,0.004405286343612335,0.00881057268722467
Skullcandy,0.0055248618784530384,0.024861878453038673,0.055248618784530384,0.049723756906077346,0.03591160220994475,0.0027624309392265192,0.019337016574585635,0.04696132596685083
Sony,0.019189765458422176,0.013859275053304905,0.019189765458422176,0.03411513859275053,0.01812366737739872,0.011727078891257996,0.014925373134328358,0.035181236673773986
SoundPEATS,0.005813953488372093,0.023255813953488372,0.03488372093023256,0.05232558139534884,0.03488372093023256,0.005813953488372093,0.005813953488372093,0.046511627906976744
Soundcore,0.0,0.015151515151515152,0.015151515151515152,0.022727272727272728,0.015151515151515152,0.007575757575757576,0.015151515151515152,0.007575757575757576
